Tags/Difficult ,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500
math,301,109,116,123,114,129,113,150,122,151,105,108,102,102,101,91,97,87,68,70,50,52,31,34,29,28,24,30
greedy,248,98,106,128,143,135,151,164,154,143,155,145,138,105,109,74,81,70,50,43,34,29,22,17,10,17,7,18
implementation,400,150,164,161,184,170,158,186,142,128,111,84,83,63,72,57,50,53,22,27,24,15,12,10,9,3,3,11
dp,17,12,11,22,28,39,46,91,71,93,105,126,132,141,129,120,132,133,105,83,64,52,54,31,34,18,17,48
data structures,11,4,7,25,23,27,43,71,60,74,59,99,86,109,95,104,128,96,68,64,66,40,54,39,40,36,28,46
constructive algorithms,135,37,60,55,81,62,78,89,78,94,85,86,79,65,77,46,73,61,46,40,35,18,25,20,18,13,10,27
brute force,135,47,67,76,79,67,76,109,88,85,69,72,74,59,71,56,56,57,38,32,25,25,16,9,9,7,4,14
graphs,4,3,3,5,11,18,22,50,40,54,45,62,61,65,69,65,88,60,55,44,43,23,34,11,20,14,12,22
sortings,76,38,37,58,62,45,60,68,45,49,62,55,49,52,42,40,38,31,16,13,10,7,9,9,1,6,2,5
binary search,6,1,10,23,25,36,41,57,63,65,58,77,65,59,58,45,64,50,21,30,18,15,20,14,12,12,7,16
dfs and similar,3,4,5,4,11,16,24,43,38,48,40,66,65,69,77,53,65,53,34,33,27,20,22,6,9,4,9,10
trees,1,2,0,2,4,9,7,21,22,19,34,46,45,53,56,52,62,54,35,43,39,23,30,18,26,11,15,25
number theory,34,19,21,25,24,36,30,38,39,33,38,33,27,33,30,35,38,23,24,19,12,19,6,8,8,7,9,9
strings,89,33,33,38,29,32,25,46,34,32,29,30,29,29,29,18,19,17,17,14,13,6,8,4,8,3,4,8
combinatorics,9,6,6,6,3,20,14,29,20,28,22,39,30,45,29,45,39,42,38,32,20,27,12,9,10,12,9,12
bitmasks,16,3,5,10,10,17,15,17,16,29,20,33,27,27,38,20,45,40,29,25,15,13,13,6,8,6,1,8
two pointers,12,1,9,11,22,21,24,29,36,34,36,34,36,26,21,25,26,28,12,13,7,5,7,3,4,5,2,4
*special,9,4,6,11,12,12,26,125,29,21,29,20,25,16,13,14,6,8,3,8,3,9,3,3,2,0,1,0
geometry,16,6,9,9,9,6,10,13,13,18,11,15,16,16,15,16,16,24,23,26,13,18,13,8,6,12,3,12
dsu,1,0,1,2,4,8,13,16,12,16,13,24,22,24,19,26,29,29,14,14,11,7,6,5,2,3,3,4
divide and conquer,0,0,0,0,1,1,1,6,5,4,12,13,6,12,18,11,23,26,22,17,21,9,18,4,8,4,12,11
shortest paths,1,0,1,3,0,2,3,9,10,19,15,24,15,20,17,17,23,9,17,12,7,7,11,4,2,1,3,1
probabilities,3,0,0,1,0,2,0,4,3,5,12,11,11,10,15,23,20,13,18,16,13,10,10,5,5,4,2,5
interactive,0,1,0,0,1,3,4,14,5,7,10,9,17,8,15,6,16,9,12,9,11,6,14,3,10,3,4,8
games,17,3,2,7,10,6,11,7,4,11,6,11,11,13,7,10,7,14,8,9,2,3,2,4,5,0,2,6
hashing,0,0,0,1,3,4,3,7,7,10,10,12,10,10,14,12,26,11,8,14,8,3,7,1,3,2,1,4
flows,2,0,0,1,0,1,1,2,1,0,5,4,5,5,8,10,15,10,8,10,10,10,6,7,6,5,3,3
matrices,0,1,0,0,0,0,2,3,2,2,1,5,3,8,2,8,15,8,9,15,4,6,6,4,5,2,1,2
fft,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,7,6,9,7,7,5,2,9,4,6,8,11
string suffix structures,1,0,0,0,0,0,0,1,1,1,2,3,3,3,6,5,12,3,6,7,7,3,3,2,3,4,5,5
graph matchings,2,0,0,2,1,0,0,1,0,1,3,3,2,3,10,2,10,9,5,3,9,4,1,4,2,4,3,1
ternary search,0,0,0,1,0,1,3,2,1,2,5,4,6,9,5,1,3,4,1,0,0,0,0,0,0,0,0,1
meet-in-the-middle,0,0,0,0,0,1,1,2,0,3,2,5,0,4,2,2,3,3,4,3,1,4,1,1,1,1,2,1
expression parsing,1,0,0,1,0,2,2,5,4,4,5,0,2,1,1,2,0,0,3,0,0,0,1,0,0,0,1,0
2-sat,1,0,0,0,0,0,0,1,0,0,0,4,3,2,2,1,4,1,3,2,2,0,0,1,2,0,1,0
chinese remainder theorem,0,0,1,0,0,0,0,0,0,1,1,0,2,2,2,1,0,0,1,1,1,2,0,0,0,0,0,1
schedules,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
